# EPOKHE Dropbox image inventory - crawled 2026-08-24
# Shared link root: https://www.dropbox.com/scl/fo/z0gsgmn2qasobxu8e1pdx/h/
# Paths below are relative to: /1_EYEWEAR/1_COLLECTION/
# Columns: path <TAB> image_count <TAB> first_filename
1_TRINITY/1_ECOMMERCE/2_HEAD_SHOTS	13	Epokhe_Team Pictures_Mia Rankin054.jpg
1_TRINITY/2_CAMPAIGN/2_TIER_TWO	10	PRODUCT_Trinity_4k.00_01_04_17.Still006.jpg
23_REPRISE/JF Reprise - Biege/JPG	5	Epokhe_August_Set3_Image1.jpg
23_REPRISE/JF Reprise - Biege/PNG	5	Epokhe_August_Set3_Image1.png
23_REPRISE/JF Reprise - Black Tortoise/JPG	5	Epokhe_August_Set4_Image1.jpg
23_REPRISE/JF Reprise - Black Tortoise/PNG	5	Epokhe_August_Set4_Image1.png
23_REPRISE/REPRISE - JF BLACK POLISHED BLACK/FULL SIZE (6000x7495)	5	REPRISE-BLK-01.jpg
23_REPRISE/REPRISE - JF BLACK POLISHED BLACK/WEB RES (2882x3600)	5	REPRISE-BLK-01.jpg
23_REPRISE/REPRISE - JF DARK TORT POLISHED GREEN/FULL SIZE (6000x7495)	5	REPRISE-JFDKTORPGRN-01.jpg
23_REPRISE/REPRISE - JF DARK TORT POLISHED GREEN/WEB RES (2882x3600)	5	REPRISE-JFDKTORPGRN-01.jpg
23_REPRISE/Reprise - Black Black/9002BLKPOBLK - LARGE	5	9002BLKPOBLK-1.jpg
23_REPRISE/Reprise - Black Black/9002BLKPOBLK WEB	5	9002BLKPOBLK-1.jpg
23_REPRISE/Reprise - Black Black/Reprise - Black:Black - jpg	6	Image1_Set10.jpg
23_REPRISE/Reprise - Black Black/Reprise - Black:Black - png	6	Image1_Set10.png
23_REPRISE/Reprise - JF - Black: Bronze Polar/2_OLD_IMAGES/1_RETOUCHED	6	Nov_Image1_Set1.jpg
23_REPRISE/Reprise - JF - Black: Bronze Polar/2_OLD_IMAGES/set1	6	Nov_Image1_Set1.jpg
23_REPRISE/Reprise - JF - Black: Bronze Polar/2_OLD_IMAGES/set1png	6	Nov_Image1_Set1.png
23_REPRISE/Reprise - JF - Black: Bronze Polar/3_360/fd545878-c019-4ff6-8fc6-58e990738206	72	img01.jpg
23_REPRISE/Reprise - JF - Black: Bronze Polar/9002-BLKPOBRZAMBP/2882 × 3600	5	9002-BLKPOBRZAMBP-1.jpg
23_REPRISE/Reprise - JF - Black: Bronze Polar/9002-BLKPOBRZAMBP/6000 × 7494	5	9002-BLKPOBRZAMBP-1.jpg
